User Name,Star,Review Title,Review Text,Review Posted Time
xxarchbunnyxx,1,Could have been better,Quite a lot of representation and it is great that they are trying to expand Marvel's repetoire. Main character could have been casted a little better.,4-Sep-21
farhanazhari05,9,Marvel Asian Superhero!!!,"I Love Shang-Chi!, This is Amazing Marvel Superhero Asian Movie, The Ten Ring Reference Showing in Iron Man 1,2 and 3, Marvel One Shot & Ant-Man, Mandiri Character was Amazing has Previously on Iron Man 3, And Visual Fighting So Awesome!! (Also Including Abomination & Wong)

Rating: 9/10.",3-Sep-21
agnieszkaszypula,10,Brilliant!!!!,"Absolutely loved it. Must watch. Non stop action and all you can imagine in a good movie.... I am not saying any more, just watch the film and you will not be disappointed.

I think I will go to the cinema at least one more time to watch it again, that how great it was.

I am simply buzzing!!!",3-Sep-21
theobonding,9,Creative and innovative ideas from Marvel!,"It's so amazing to see more Asian and female representation of films - this film is a representation of Marvel's ability to adapt, adapt to different cultures, languages, race. That they are able to create new story lines, but also branch them together. I have to say, amazing cast too! I can't wait to see what else Marvel has to bring out, I hope other studios take inspiration and follow suit. People enjoy different yet relatable, and this film didn't disappoint!",3-Sep-21
alexscott-35299,9,An amazing dive back into the marvel universe!,"I was super excited for this film and at the start of the year it was probably my most anticipated film of the year. It definitely did not disappoint me! This film is massive fun, massive action and has massive heart. The action scenes are so cool and the choreography is amazing in the fight scenes and the martial arts look so good. I love the jokes between the two main characters and the banter they have together is great fun. This is a good way to do an origin film this far into the MCU, it sort of flicks between flash backs and the present day and it keeps the pacing of the film fresh and quick. Shang-chi as a character isn't super well known but just like the guardians of the galaxy I think he will become a household name. The shots in this film are gorgeous at times and have some beautiful bright colours and amazing Chinese settings. Some of the effects fail a little bit but it's not enough to harm the film at all. I loved this film and I'm so happy to be back into the marvel universe once again!",3-Sep-21
pnathan28,10,Excellent,"Probably the best MCU origin movie since Gaurdians. Great martial arts action too. No shaky cam! The fight scenes are reminiscent if the older Jackie Chan movies of the 90s, which makes sense since his choreographer and crew worked on this movie.",3-Sep-21
raykuanlabel-291-473410,10,OVER THE TOP,"It's unbelievably unbelievable that Marvel went over the top with the chinese culture fantasy myth even tho it is too much even for the asian community. Nevertheless I will appreciate it and absorb it because the fight scenes are visually stunning and the choreography was exceptional. Fantastic VFX, SFX and CGI you can see all the details on Imax. My only issue is the execution of the good Dragon - it's too Raya the Last Dragon meaning it's too Disney more than MCU vibe. Also, I wish I didn't watch all the too many trailers of the movie cuz you lose the surprise. The 2 post credits tho - it's fun and insane!",3-Sep-21
sagniknath,4,Generic marvel movie that could have delivered so much more,"This had so much potential that got sadly wasted.

The few fight scenes in the first half were better in quality compared to the usual Marvel quick cut edited ones. They were mildly reminiscent of the Matrix fights( The intro to the Shangchi theme music even sounded suspiciously similar to Furious Angels from Matrix Reloaded and made me miss the Matrix films more)

However, anything positive about the film ends in the first half only with the second half culminating in a bloated CGI mess that is the hallmark of almost all Marvel movies. In fact, between Shangchi and Black Widow, I'd say the latter featured much better visual effects which would have looked better on the big screen than this. Shangchi would have been a more apt as a direct to video release.)

It didn't also help that the lead actor was a complete void of charisma.

Honestly, I am just going to watch some Jackie Chan movies now to now to help deal with the kung fu cravings this movie initiated in me but failed to deliver.",4-Sep-21
kitingaomotoso,10,AMAZING🔥🔥🔥,I have already watch this movie three times this movie was awesome. It had everything from action to comedy and the really embraced the Chinese culture in this movie. But I was more excited for the post credit scene and I think we have not seen the last of shang chi.,3-Sep-21
ketiagastonkeg,10,an amazing story,I just finished watching this and all i can say is this movie is soo unique. From the action to the atmosphere it just made this experience so great words can't even explain. I'm so eager to see what marvel has in store for us next!,3-Sep-21
jaclarke-46257,10,Marvel Fanatic Left Speechless,"Usually I write a lot more in these reviews. I'm a 'see it on the first showing' for every Marvel movie and series - and this has left me without any superlatives. Amazing, 10/10.",3-Sep-21
kumarrv-92783,10,A masterpiece,"Love everything the visuals,nature, action, acting everything on point Best Superhero movie of the year he'll yes New fav avenger Shang-chi.",3-Sep-21
luishurtadoluiss,10,Exceed expectation,"The fighting scenes were amazing, especially the intro and the ending.",3-Sep-21
lorna-adair-133-801166,10,Phase 4 starts with a bang,"What a breath of fresh air this film is, it's doesn't feel like your traditional Marvel film till the end scene, mid and end credit scene.

Visually beautiful the creatures and scenery. The action was fast paced and blows you away.

Can't fault this film, you walk out the cinema and could easily walk back in and watch it again.",3-Sep-21
romanluu,6,Manage your expectations?,null,2-Sep-21
zwaanella,10,breathtakingly beautiful,"First I had some concerns just about the fact that Shang Chi is a complete new carachter we never met before and new surroundings. Well this movie is an emotional rollercoaster, worked out beautiful, with just the exact humor, great actors, very detailled fightscenes. And besides the story is very beautiful, it's about getting justice for their lost mom. And this makes it BREATHTAKINGLY BEAUTIFUL.",3-Sep-21
23Daniels99,10,Flying Fist of Phase 4,"A refreshing return to theatre going normalcy! The movie feels different from the previous Marvel movies and while I had low to no expectations from this movie, I was Iron Man'ed into falling in love with this movie and the character that AI formerly knew little about. The action was awesome the visuals both practical and CG were awesome and the story wasn't over complicated or too simple. Saw it with friends and we enjoyed it start to finish. Simu Liu and Awkwafina have great chemistry and Tony Leung Chiu-wai is very relatable and relatable as a villain and person. Over all I love the movie the most for feeling both down to earth and human while also being full Marvel wonder. Like Iron Man, the way it opens a wide and beautiful future for Marvel leaves me optimistic and excited.",3-Sep-21
bheem-06790,10,Must watch,Awesome movie... To be honest one of the best marvel solo films everrr....,3-Sep-21
ryancdog,1,What a stinker!,Wow what a stinker! Who wanted this movie made? Who are they that this movie was made for? Clearly NOT China as they won't allow it to be shown in their country. Just another boring MCU movie. Probably was worth more than a 1 star but all those 9 and 10 star ratings are undeserved. I'd recommend waiting till this is free on your Disney+ subscription without paying their ridiculous mark up of $30. It's worth waiting for! Definitely NOT worth going to the theater and paying your hard earned money to see it.,4-Sep-21
rockinkettles-1,5,Shang Chi was disappointing,null,20-Sep-21
dan-ilya,5,Movie made for martial arts fans and Chinese,"To clear out the reviews fight. I believe that the situation is like this:

If you love martial arts you will love this film. If you are Chinese you will probably like it, and even more if you live outside China.

If you are a huge Marvell fan you will like this movie or at least tolerate it.

All the rest will probably be disappointed.

It is still a Marvell film, and the quality is good. The story is less good, and at many points loses any common sense even for a ""superheroes"" movies that initially lack any sense. Marvell could do better at least with the story.",16-Sep-21
marounhs,8,"Very good, but...",null,10-Sep-21
bdark-39123,10,First movie in years that got me tearing up and getting goose bumps,"I watched a few Marvel movies for the humor and action, and they were never ""great"" movies to me, so I was expecting to like it but nothing else.

In the first few minutes the narrator only speaks Chinese with subtitles, which is a change from the usual immediate switch to English. At the first fighting scene I noticed how cool the music was, It's a bit like dubstep? But it really works with the scenery. Morgan Freeman's small role made me laugh, I didn't expect him there.

I was also not expecting to see some things that were slightly mentioned during the movie, I really thought they were gonna keep it mysterious even though it's Marvel.

I'm glad the comic relief characters weren't all there all the time, weren't the only ones being funny, and more importantly played a big role in the story. That was very pleasant.

Of course the acting was great too, and the sad scenes were believable. I rarely see a main character tearing up. I wish they could cry like a normal human would. A lot of movies suffer from the badass-blank-face protagonist, this wasn't totally the case here.

Big pro is the lack of forced romance, kissing and whatever. I hate that stuff. The girl always falls in love with the guy but not here (or it's not shown). Though the parents shouldn't have fallen in love either by my standards The only bit of blood in the movie was really fake looking, but the other 3D animated made up for it

One thing I'm not happy about is how confusing some action scenes are. No idea what's going on, or where the protagonist is going. It slows down for the important hits, but those are typical Marvel action scenes.

I also didn't like that the sister was overshadowed and that she forgave so easily.

This is closer to a 10 than a 9 so I gave 10. I'm just so happy I felt something while watching a movie. It's been so long!",10-Sep-21
tah-24611,10,A KNOCK OUT WIN FOR MARVEL!!!!!!,"This is not a superhero movie. This is a very entertaining and well acted Chinese film. A MUST SEE ABSOLUTELY WORTH YOUR TIME AND MONEY...

My Grade: A.",9-Sep-21
NicolasTheWolf,9,Shang-Chi enters,One of the most beautiful Marvel films as of yet. On top of that are the visual effects and the fight scenes top level. It will be interessting to see how Shang-Chi will fit in the MCU and whem we will see him next. And btw Wong is a legend. But yeah I should probably go now...ooor...,8-Sep-21
gavingriffitt,6,More of the same,"The major concepts in this film are genuinely interesting, but they are ruined by several problems that have become a norm for MCU films at this point. The major things being that they commercialize it so much to a point where all of the significantly new and interesting ideas are made boring and bland. What I can say is that the choreography is genuinely excellent. Overall it was fine but it didn't make me feel anything really.",7-Sep-21
valechiste,10,Beautiful,"Well written, funny and well made, this movie make you smile, relax, laugh and hype you up at the same time, watched it in the theaters yesterday and I have to say that it's truly a masterpiece.",5-Sep-21
cespendle,9,Great story,Really original and shows a new direction the filming of the MCU can take.,4-Sep-21
Imshortok06,10,Best. Marvel. Movie. Yet.,"This movie had it all. It had great action and humor (which you would expect from a Marvel movie), but it was also so well-layered with complex characters, compelling themes, and respect for Asian culture. I found myself laughing and crying at this movie. I also loved the guest appearance from an old character long forgotten and some amazing creatures. This movie deserves all the praise it can get.",18-Sep-21
hariharanash,5,Yet another Superhero flick focused more on visuals and (forced) comedy,null,17-Sep-21
benjamingobey,5,Not the best but there's been more terrible superhero movies than this...,null,15-Sep-21
rayhanramadondin,8,Great action movie,"I have to that this movie was great. It has a lot of action in this movie and the choreography in every fight scenes was amazing. Also, the story was interesting and it has a lot of jokes that makes me laugh every time and the CGI and the visual of this movie was great. This movie was very entertaining. This is probably the best MCU solo movie after captain america the winter soldier.

Overall, I gave it 8/10 because it was a great action movie. I like it😁👍",12-Sep-21
kosmasp,9,Precious ... ten times,"Of course I am just riffing off, teasing and making fun of certain things with my summary line. Though there is some truth in there too - especially if you consider the last third of the movie - quite fantastical, pun intended.

But there is so much more here. And while you may have seen the bus scene already (I imagine many times), it still is quite the highlight and works wonders! Because there is even more to it than the trailer/teaser revealed! As is with the plot and the characters of the movie.

I was able to watch it on an Imax screen and let me tell you ... wow! But also wow and much respect to Marvel and Feige and anyone involved that they dared to make the first ten minutes or so in chinese! And throwing a lot of chinese terms (slang?) in there as well - throughout! That gives it a touch of authenticity. How immigrants in America or anywhere else in the world grew up. I do the same with my Greek and German/English.

It is also nice and while I am prone to be sarcastic, I really think it's a good thing to have such a major and big representation - especially nowadays with Anti-Asian hate/crime rising. All because of people blaming China and people of China for a virus ... the movie does not have that as a topic, it is entertainment after all, but in every promo and interview that the actors were involved it was something that was mentioned. Good for them and good for us, that this was made.

I am a bit biased when it comes to the MCU and this did get a pure theatrical release, instead of the Black Widow treatment (which also was available on Disney plus and the cinemas at the same time). So there is not issue when it comes to that. And if you can watch it on the big screen - you will not be dissapointed! Now waiting for the other stuff to drop ... especially after the mid credit scene, that is such a tease ... the after the credits scene might also hint at something, but the bigger tease was midway through the credits (actually almost at the beginning of them to be honest).

Sit back and enhoy the movie and the really funny characters ... and quite a few familiar faces. Some from the MCU and previous entries but also some from Asian cinema! Well done!",12-Sep-21
kamsmith-71543,10,Wow,Everything about this movie is great I loved it so much the CGI towards the end was lacking but that's not a surprise that they would do that to this Asian led film they did it with black panther as well The fight scenes are fantastic I loved every one of them. All around damn good movie.,12-Sep-21
Harry_Gleeson,7,Another solid entry,"After the big disappointment of Black Widow, it's safe to say I was anticipating a better outing for Shang Chi and thankfully I lived up.

The action is the films biggest plus point. It's where the best scenes are on show, the choreography is brilliant alongside its kung fu/John Wick style fights.

The visuals are typical of a Marvel film, solid as always. The film however lost its emotional resonance through its writing. The heart of a film mainly comes from the screenplay and I felt the writing was slightly lazy in parts and that heart faded.

It's neither a perfect nor terrible film, it's a solid one that I enjoyed, even if it was hard to truly gravitate towards the characters.

Quote - 'Welcome to the Circus' - Wong

Rating - 3/5.",9-Sep-21
Pairic,8,A great adventure,"Shang-Chi and the Legend of the Ten Rings: The origin story of Shang Chi, his father Xu Wenwu found the Ten Rings of power 1,000 years ago and trough history has been a conqueror and Robber Baron. In 1996 he found Ta Lo a mystical village, but is beaten by it's guardian. Ying Li. They fall in love and have two children, Shang Li and his sister Xiang. Tragedy strikes and Shang Chi is raised to be an assassin, his sister trains in secret. The story is about Xu wanting his children to join with him in a strange quest but things don't go smoothly. Modern style gin battles and those involving mystical weapons abound, well choreographed as are the martial arts sequnces. One great fight aboard a runaway San Francisco bus on those hills. We also have a Cthuluesque devourer of souls with it's flying minions who battle a Chinese Flying Dragon (he's the good guy). There's also a faceless ""winged wombat"" and other mythological beasts. A great adventure. Directed and Co-Written by Destin Daniel Cretton. 8/10.",9-Sep-21
alindsay-al,8,A Great New Film in the MCU,"The next instalment of the MCU, Shang-Chi and the Legend of the Ten Rings has come out and I managed to see it the other day and I have finally found time to review it and here is my review for it. The premise of the film sees a young martial artist forced to face his past when his criminal father comes hunting for him.

Main Character Relative unknown Simu Liu plays Shang-Chi and he is really good in this role. He really delivers a strong performance and you will come out of the film really liking him and caring about the character of Shang-Chi. The focus on his family dynamic is really well done and Liu does a great job in selling that and showing the pain that he has been through in his life and bringing this great hero to life. He is also fantastic in the action scenes and that is a huge part of this film and you have to believe in the heroes capabilities and I really did.

Supporting Characters Awkwafina plays his best friend Katy and I feel like this character is really going to split opinion, some will hate her, some will love her. I pretty much hit both ends of the spectrum, I thought she was really annoying in the first act of the film and it hurt my enjoyment, but as she had her role slightly lessened she became much more likeable and her character arc became very clear. Tony Leung plays his first role in an American film playing Wenwu and this is one of the best antagonists in the current MCU. I loved this character and performance, he isn't just some generic bad guy and at times I really understood his motivations and saw the emotion from his performance and it was really strong. Meng'er Zhang plays Xialing and I liked her character here and I thought it really complemented Shang-Chi really well. There is clearly issues there and the film plays it up well, and makes her more then just this female sidekick and she is given a personality.

Story The story is at its strongest when it focuses on the family issues between the characters, in particular Shang-Chi and Wenwu. That father and son dynamic is great and both actors deliver really well in their roles and it makes there clashes feel even more important as you genuinely care about both of them in the film. The issue is that the film kind of strays away from that and tries to focus on too much. It has plenty of exposition scenes and fits so much in that it distracts from the main thing that makes this film great. The final act puts the focus in the wrong place, its hard to explain without spoilers but I think you will know what I mean if you watch the film.

Script The script is okay, the drama is really well done and made me care about these characters and the emotional predicaments that they are put in during this adventure and I actually think this film is held back a little bit by the fact that it is in the MCU. What I mean by that is that it has the humour you come to expect from the universe is here but it is done poorly and I never really laughed at all and that was a disappointment.

Style The film looks fantastic, the CGI is all beautiful and I think it does an excellent job of building this world of Martial arts that is very different to other elements of the MCU. The fight scenes live up to the hype and are the best that have been seen in The Marvel Cinematic Universe, the flow so well and are so hard hitting that it is easily the best element of the film.

Overall Overall, Shang-Chi and The Legend of The Ten Rings is a great film and another solid addition to The Marvel Cinematic Universe. It isn't top tier Marvel but does a great job of introducing a new hero in Shang-Chi.",9-Sep-21
Sign in,null,A Marvel for the whole family.,null,null
sourenakoohestani,10,AMAZING,"That was AMAZING I thought nothing would take my favorite marvel movie place from avengers infinity war,but I was wrong, because Shang chi took it!",9-Sep-21
VVirak,7,Hate complimenting Disney,"... but this is a hit. They somehow succeeded expanding the vast MCU without really forcing it (it goes to show you the richness of American pocket and world culture can go a long way). This is a solid movie, with great action sequences and CGI that delivers. Mind you, SHANG-CHI is not the same without the mesmerizing Tony Leung and Michelle Yeoh (when he doesn't fight, the title character is just OK and Awkwafina still isn't funny). Do not wait to watch it on TV because you should experience it at cinema first.",8-Sep-21
bakergarrett,7,Fun and exciting movie but don't expect any surprises.,"Shang-Chi and the Legend of the Ten Rings is the first marvel film of phase 4 worth seeing espically when compared to the extremely generic Black Widow movie that came out earlier this year. The pros of the film are definitely it's action sequences and beautiful cinematography. The cons of this movie for me were the humor and the films predictability, but the pros of this film definitely outweigh it's cons.",8-Sep-21
wyvije,10,Instantly Bonafide MCU Smash,"A great mix of action, levity, and family drama (who can't relate to that?) not seen since Captain Marvel (a cat hacking a tesseract hairball ... again who can't relate).

It is a visual masterpiece with elements any fan of The Legend of Zelda : Breath of the Wild will swoon over (maybe not something everyone can relate to).

If the 10 Rings ""ring"" a bell ... check out Iron Man 3 for a refresher.

Also make sure to hang around for mid- and end-credit scenes.",8-Sep-21
qrceline,10,Mind is blown away!,The movie was absolutely AMAZING! I wish I can see it over and over it again! Defiantly will watch it again.,8-Sep-21
nickbakken,10,Great movie!,This movie is a great introduction to the character and has a pretty epic ending. Looking forward to seeing more of Shang Chi!,8-Sep-21
Camerenth,8,Marvel made a great martial arts movie.,"This movie's biggest strength is the action. It is so well choreographed and so well captured in camera that it is unlike any movie I've seen. That aside, the characters are solid and give depth to the family dynamic at the heart of the story. Where it fumbles is in the third act that feels like it contrasts a lot that it tried to set up in order to have an over the top fantastical element to the show. Overall very enjoyable and is probably the most appealing Marvel movie since Black Panther.",7-Sep-21
GomezAddams666,10,I give it Ten Rings!,"Let me commence by saying this movie is by far one of the most-fun, action packed Marvel movies ever!

Simu Liu is the perfect Marvel protagonist, and Awkwafina delivers the obligatory yet welcomed dose of humor you'd come to expect from a Marvel presentation.

But beyond that this movie is rich with mythology, adventure, and incredible martial arts combat that cannot be described with another phrase other than breathtaking, to be the introduction of a new character the story is well-written and you feel as if he had been with us from the start,

I give this move the 10 it deserves, In Marvel We Trust.",7-Sep-21
rashawncrawford-18269,10,Great intro movie,Really good movie very immersive recommend it to all fans.,7-Sep-21
Lucyfer007,9,Beginning of the phase 4,"Great Story, great action. This is the movie you definitely wanna watch to bring back that Marvelness.",7-Sep-21
pjhbdfs,10,Such an awesome movie! Loved it!,"It was such an awesome movie, something I would definitely watch again sometime. Now this film is definitely one of my top 5 films, the storytelling was amazing from start to finish. The action scenes in this movie were very Jackie-Chan/Bruce Lee stylish type of martial arts. Loved this movie! 10/10.",7-Sep-21
bbevis-47954,6,"Overhyped, Better than Average MCU Movie.",null,7-Sep-21
auser-21183,9,Well designed fight sequences + simple and effective plot = Entertaining Movie,"I was pleasantly surprised by a few things: 1. The plot was simple and thus mostly free of unignorable holes.

2. Integration of the Chinese elements were quite well done.

3. Reasonable development of characters including the bad guy.

4. (Mostly) very well orchestrated fight sequences. Quite enjoyable actually. Felt like Jackie Chan at times.

5. The movie has a very good tempo. Action and story development do not feel out of the place.

6. Not too many of the typical silly wisecracks. Still quite some but not as ridiculous as some movies.

There're some stuff one can pick on like the girlfriend and sidekicks felt a bit out of place, some development was a bit too abrupt, plot too simple and typical etc. But none of these prevented the movie from being a quite enjoyable experience.",7-Sep-21
lunarpeople,9,Marvel!,"Well, here we are... The truth is out: most of the movies by Marvel are way better than most of the movies by anyone else. There's a story, beautiful visuals, love and drama, some comedy - a package well worth big screen experience! Go and see it if you are a fan of action and/or fantasy magical movies! It does it all.",6-Sep-21
boywonderr71,9,Good action flick with just enough comedy,"The Action scenes were on par with the crouching tiger hidden dragon and other awesome awesome Kung Fu movies that that came before. There was bruce Bruce Lee and Jackie Chan is Jackie Chan elements to elements to the fight scenes.

The comedy was not over the top or too much or forced into areas to break up the heavy drama. Like the Cape in Dr. Strange whipping away the tear.

Hoodnmobie, better than I expected.",6-Sep-21
modimanan-90247,10,back to big screens,"Went to cinemas after year and half .Totaly worth it,macau fight scene stole the movie.",6-Sep-21
prathamtripathi,9,Shang Chi review,"This film us well written and directed. All the action sequences are well choreographed. This is an origin story but it will not give you marvel movie vibe(in a positive way) until and unless you will see the post credit scenes. Yes, there are 2 credit scenes. Simu liu and Tony was the highlight of the movie, Awkwafina has also performed well. Her chemistry with Simu was extraordinary and her comic timing was also perfect.",6-Sep-21
kavyajethi,8,One of the Best Solo Movie of Marvel,"Shang chi is One of the Best Solo movie till now in Marvel. If you are waiting to come it on OTT platform , you are gonna regret for not watching it in Theaters,(unless due to Covid-19) .

Visuals are so much OP in this movie. BGM of this movie will give you the vibes of Kung fu panda(Chinese Instruments), with some Dj snake Officials.

Martial Arts And Other Fighting Sequences are also Very Amazing in this movie.

For those who are Searching a good movie after 2 years of covid, this movie is that you should watch i.t Beware of Spoilers and you will Enjoy the movie.",6-Sep-21
andres_ge88,10,Absolutely loved it! Please Go watch it!,Shang Chi movie Review No spoilers Oh wow! I really loved this film! It really went above and beyond my expectations. To tell you the truth I had no idea of how it would play out. As a matter of fact I am pretty good at predicting this but this movie really had me guessing. I highly recommend to watch this film. Of course it's a Disney Film so it gave vibes similar to Mulan and of course it's an Oriental film so it gave vibes of Crouching Tiger Hidden Dragon. And of course it's a Marvel Comics film but this isn't your regular Marvel movie. I highly recommend you to watch it if you haven't already. You are going to love it. Trust me. This is worth every penny.,6-Sep-21
jbariuan17,10,Beautiful,"Honestly one of the best Marvel movies made to date, up-to-par and could even surpass Black Panther. The acting (especially Tony Leung, the dad) was incredible, along with the visuals, soundtrack, storyline, and writing. Loved how they actually spoke Chinese in the authentic scenes vs making them speak english the whole time with an accent. True to the Asian culture, and definitely did us proud!",6-Sep-21
coltonneedsmilk,10,Very Well Done!! I love it!,"I really liked this movie and I'm a full-on marvel fan, I usually like Wanda over all the other characters, but this film makes me like Shang-Chi now too. And all this time I would have never thought I would like another character. Marvel, you have outdone yourselves for sure!",5-Sep-21
sbaker-03732,9,Another Marvel Great,"Perfect casting, great flow throughout, solid story and character development. Great movie to take the family to watch. Provides many topics for conversation-change for the better, start doesn't dictate the end, see the good in all, cherish our loved ones and many others. For me the mark of a really good movie is the can't wait for the next movie and I can't wait for chapter two!!",5-Sep-21
jjburkekid,9,A Grand Adventure,null,5-Sep-21
joselinequiroga,10,I never write reviews...,"I never write reviews but let me tell you I enjoyed this movie with every inch of my heart and I speak for the rest of the people in the theate as well, it was definitely a big win for Chinese-Americans I just simply enjoyed how it portrayed both the English and Chinese language! I recommend this movie to anyone or any family out there looking for a good laugh and a beautiful cinematic piece. SHANG-CHI:)",5-Sep-21
dinnovative,10,Amazing movie! Go see it!!!!,Watch this in theaters! It was a great storyline with well developed characters. The entire cast was fantastic and it had moments of humor and seriousness seamlessly blended in! Loved seeing an Asian superhero who rocked it!! He was brilliant.,5-Sep-21
sapronova,10,Finally! Long awaited fantastic movie!,"Honestly, I'm very happy to write a good review for a change!! It's been almost 2 years since anything decent came out ( tenet was amazing too) but pretty much everything was garbage! I thought that bar of quality has fallen so low and no way back up!

But HOLY COW!!!!! Everything about this movie is great! It's funny, it's beautiful, has great writing, great CG, amazing fighting scenes, and even magical creatures!

Neutral non political proper comic book story!

Well done Mr. Kevin & Louis!

Please keep up! And thank you 🙏",5-Sep-21
arjun-09471,10,Master class,"Best action and sci fi movie ever. Pliz go and watch this movie, it's one of the finest movie of marvel, marvel do good job.",5-Sep-21
a-clinch1,9,Great fun!,"Excellent cast. Story was fine. Jokes were funny. Action was well filmed and you could see what was actually happening (snake eyes, take note). Much better than black widow.",5-Sep-21
aarambhsrivastava,10,By far the best debut Marvel movie in 'MY' opinion.,"The VFX and CGI of this movies were both great and the best in a debut movie in my point of view, the action scenes were so good even my father who didn't wanted to see the movie loved it.

And the movie is purely family friendly.

Overall I really liked the movie, it made a lot of new fans of the MCU community.",5-Sep-21
magadalwarmayur,9,best standalone marvel film since ragnork,"Marvel is back to its root with this one it is not perfect film but hell of lot more entertaing than black widow and far from home.

And their is big surprise in the film which i wont spoil but yeah watch it in the theaters or home but watch it nontheless because its great film. With heart and soul with it.",5-Sep-21
srivineet,9,"The calm of the west, expressed in a subtle way.",Action packed movie with comedy... and the KAMEHAMEHA.....,5-Sep-21
johnwarwick-16491,9,spectacular movie to watch,"Growing up as a kid on kung fu movies, Went into shang-chi with opened mind.

Well, It blown me away, The cast were outstanding, the visual effects, Cinematography, vibrant colours, the fight scenes are fantastic and Enjoyed the music as well.

Found myself laughing at time, exited and emotional.

MCU have added more characters, diversity and new possibilities.

Shang-Chi and the Legend of the Ten Rings was spectacular movie to watch.",5-Sep-21
Avwillfan89,9,Fantastic new entry to the MCU,"I'm not someone who is a fan of action movies. I'm really not. But even here, there's no denying the action sequences are brilliantly executed and have a lot more of a hit than most of the marvel movies out there.

Although Simu Liu falters a little bit as a leading man, he has a truly impressive cast to support him. Awkwafina is brilliantly funny and quippy as she always is. And Tony Leung, the complex antagonist and the hero's father, has the most depth in this film.

The visual effects are beyond beautiful. They reminded me of Ferngully, and the nature I observed as a child. Good stuff!

There are some surprising cameos that are both hilarious and wholesome.

It was so good to see it in Imax after such a long cinema hiatus. Definitely check this one out!",5-Sep-21
liesl-li,8,A beautifully unique marvel movie,null,5-Sep-21
umangbubna,10,Awesome,Well it's 9.5 This movie is deserved to be watched at theaters Action-11/10 Emotion-9/10 Story-10/10 The only flaw in this movie is it is little bit fast paced.,5-Sep-21
Dgmojo,10,Great movie,"Very impressed with the entire movie. Great visual effects, action scenes were on point. Well written story. Definitely a must see.",5-Sep-21
antoniomorris-58211,10,Amazing,It was amazing from the visuals to the depth of the store to the inside jokes that only true marvel fans will notice. This just another masterpiece made by marvel studios.,5-Sep-21
shrek-45397,10,Amazing!!,Was such a great movie and then the climatic fight was amazing (side note if Disney got the rights to do a dragon ball z live action movie it would be great if they use the same director of this movie),5-Sep-21
sankeygawai,10,Fantastic,null,5-Sep-21
iamalixa,10,AMAZING MOVIE,"This movie was spectacular. From the visuals, action sequences, and soundtrack. Everything was amazing. Literally had full body chills watching this movie!",5-Sep-21
natashialw,10,10/10 Amazing action packed new love!,"I have nothing negative to say about this movie it's perfect, highly entertaining and fun, action packed, emotional, great story telling and comedic as well! Awesome post credit scenes as well! Can't wait for the second one!!",5-Sep-21
